drugbank_id,uniprot_id,interaction
DB11853,P30968,1
DB00467,Q08209,0
DB00696,P60568,0
DB01047,P10275,0
DB05229,P00749,0
DB06635,Q00975,0
DB06442,P23141,1
DB04841,O43497,1
DB12178,P03366,1
DB12487,Q01201,0
DB14840,P10276,0
DB13952,P03372,1
DB00627,Q9NYA1,0
DB16335,P29274,0
DB08807,P27487,0
DB06614,O96013,0
DB08883,P45452,0
DB06712,P30530,0
DB04577,P27487,1
DB08192,P47870,0
DB04462,Q13464,1
DB00456,P35916,0
DB06070,P08238,1
DB00150,P14902,1
DB16028,P06213,1
DB16955,P46098,0
DB08839,P28221,1
DB15495,Q99623,1
DB05016,P03372,0
DB07776,P29275,1
DB03814,P51170,0
DB01764,P50870,1
DB12476,Q9NYK1,1
DB01603,Q8DR59,1
DB02282,Q16539,0
DB00780,P21397,1
DB08837,P21918,0
DB01173,Q9U8D3,0
DB16346,P20292,1
DB08550,Q01959,0
DB08473,Q8DR59,0
DB04832,P31645,1
DB11761,Q07817,0
DB08768,P24941,1
DB16893,P14416,0
DB15055,P19793,0
DB16826,Q16288,1
DB00194,P35367,0
DB04908,P35354,0
DB08490,P11511,0
DB00277,P16233,0
DB05239,Q02750,1
DB15623,P03366,1
DB06851,P09960,1
DB02044,P35228,1
DB01218,P03366,0
DB09196,P11511,0
DB01748,Q16539,0
DB01142,P10828,0
DB00563,P04818,1
DB04368,P68826,1
DB14539,P04083,1
DB01954,P14324,0
DB04367,P22303,0
DB01274,P08238,0
DB12193,P00918,0
DB00830,Q01959,1
DB04462,P04150,0
DB17029,Q01201,1
DB12923,P16615,1
DB00484,Q96EB6,0
DB06691,Q9UHC9,0
DB00786,P01303,0
DB14043,Q9Y2T6,1
DB01280,P18858,1
DB12306,P0DMS8,1
DB12180,P0AD68,0
DB01524,O14757,0
DB15102,P11229,0
DB11986,Q16288,1
DB00579,P23975,1
DB12512,P43681,0
DB00799,P10826,1
DB03530,P00807,1
DB09488,P35367,1
DB00321,P05023,0
DB00616,P08473,1
DB13920,P41145,0
DB13062,P42345,1
DB12478,P08908,1
DB09195,P31645,1
DB01223,P30542,1
DB12188,P28223,1
DB03740,P12821,1
DB00924,P28223,1
DB00127,P22748,1
DB01541,P10275,1
DB05009,P29274,1
DB14043,P28335,0
DB01388,Q04206,0
DB16101,P28223,0
DB16967,P21728,0
DB17056,P35348,1
DB00424,P11229,1
DB06211,P02919,1
DB00799,P10276,1
DB01303,Q14432,1
DB07104,P09960,1
DB06604,P28223,0
DB11160,P21918,1
DB09000,P28335,1
DB00303,Q06187,0
DB04674,P25101,1
DB06694,P31749,0
DB05294,P00533,1
DB00952,P08908,1
DB12433,P35968,0
DB00714,P14416,1
DB14669,P04150,1
DB09038,P22303,0
DB12635,P42261,0
DB07443,P49642,0
DB07767,Q9Y5S1,0
DB00200,P22033,1
DB14063,P08183,1
DB06729,P13631,0
DB05423,P04150,1
DB12894,P03366,1
DB19209,O75762,0
DB01189,P08922,0
DB16770,P11362,0
DB01097,Q96GD4,0
DB09262,P11229,1
DB00311,P35354,0
DB00896,P21397,0
DB00795,P35354,1
DB00330,P10613,0
DB01136,P35348,1
DB05119,Q02763,0
DB11679,P35916,1
DB06367,P43235,1
DB11886,P22888,0
DB13345,P23280,0
DB12774,P42345,1
DB08878,Q9HBH1,1
DB01892,P09917,1
DB18716,P00807,1
DB02779,O95718,0
DB01163,P0AD65,1
DB03777,P06493,1
DB13104,Q9UM73,1
DB00940,P41594,0
DB15299,Q00987,1
DB00280,Q92731,0
DB00615,P11388,0
DB02255,P08253,1
DB04522,O15530,1
DB08981,P35354,1
DB06836,Q9UBF8,1
DB11694,Q9UQB9,1
DB16325,P28335,0
DB07664,P24941,1
DB16911,Q07864,0
DB00524,P14061,0
DB06397,P09874,1
DB01744,P14410,0
DB06685,Q13547,0
DB06235,Q04206,1
DB00128,Q7Z2W7,0
DB19191,P05067,1
DB12843,P05026,1
DB02545,P25105,0
DB11672,P04626,0
DB06288,P28223,1
DB13648,P04637,0
DB07145,P78536,1
DB17056,P14324,0
DB12072,Q15822,0
DB05155,P41145,1
DB07149,P50750,1
DB12582,P21397,1
DB00371,P31644,1
DB04552,P04054,1
DB00801,P14867,1
DB14723,Q16288,1
DB12188,P0AC13,0
DB16218,P0AC13,0
DB01259,P04626,1
DB13036,Q92793,0
DB08482,Q01959,0
DB03777,P14635,1
DB13146,P35348,0
DB11629,P43116,1
DB11672,P04083,0
DB00314,P14416,0
DB00679,P35348,1
DB00298,P21731,0
